track_id,track_name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0hRVm06wtH5HsmPetg1W9t,BERMUDA TRIANGLE,BERMUDA TRIANGLE,ZICO,2016-11-28,207026,51,0.469,0.0592,0.819,0.0,0.178,-3.469,0.306,89.013,4
60CQnCnF2vButAQYP0wgXp,My Tale,"It's Okay to Not Be Okay (Original Television Soundtrack), Pt.3",PARK WON,2020-07-05,226040,43,0.495,0.766,0.446,0.0,0.115,-4.693,0.0277,139.59,4
4EjUFjzi4ErWjklOA3Aslu,Tempo,DON’T MESS UP MY TEMPO – The 5th Album,EXO,2018-11-02,224482,60,0.686,0.237,0.842,0.0,0.0683,-4.423,0.1,115.944,4
5zwwW9Oq7ubSxoCGyW1nbY,Pink Venom,BORN PINK,BLACKPINK,2022-09-15,186964,73,0.684,0.0126,0.751,0.0,0.189,-6.22,0.172,180.054,4
6OXq1P3P8Z8ky2x8dDtHSH,So I Danced,So I Danced,DPR IAN,2023-09-15,173293,48,0.685,0.0412,0.717,0.0606,0.165,-5.958,0.0365,139.971,4
39kH6C2twlYjyssIW02sbr,LAST WALTZ,Formula of Love: O+T=<3,TWICE,2021-11-12,170560,54,0.799,0.213,0.772,0.0,0.0892,-3.272,0.105,141.968,4
2QNXeWBInLvISwihCiN3hj,Honey Drop,Replay (Original Television Soundtrack) Pt. 1,PENTAGON,2021-01-28,207800,20,0.806,0.0526,0.706,0.0,0.246,-4.271,0.0744,124.081,4
1MX0g22bQkr9HDVe37fLnN,134340,Love Yourself 轉 'Tear',BTS,2018-05-18,230063,62,0.665,0.155,0.687,9.28e-05,0.173,-6.466,0.0547,106.023,4
2X1Fg19lRPQD0OXKnkjvpP,DAY BY DAY,DAY BY DAY,T-ARA,2012-07-03,209880,50,0.757,0.702,0.637,8.83e-06,0.209,-3.137,0.0465,117.961,4
4RewTiGEGoO7FWNZUmp1f4,Celebrity,Celebrity,IU,2021-01-27,195546,59,0.73,0.191,0.784,0.0,0.0956,-2.62,0.0691,99.995,4
4brbKf89m6T7sul0VIV5cY,Memories,Memories,KIM WOO SEOK,2020-10-14,171720,28,0.493,0.188,0.833,0.0,0.104,-3.483,0.0948,173.923,4
